cod_cluster,lon,lat,S1,S2,S3,S4,time_min,COD_NVO
114808_3,-70.642315,-33.584137500000004,84.0,17.0,0.0,0.0,3.2416666666666667,114808
114808_4,-70.63371153846155,-33.57962846153846,15.0,2.0,0.0,0.0,3.7666666666666675,114808
114809_0,-70.65700558558557,-33.58298864864864,58.0,10.0,0.0,0.0,4.453153153153152,114809
114809_1,-70.64524288461537,-33.586262500000004,13.0,2.0,0.0,0.0,5.046153846153844,114809
114809_2,-70.6535411340206,-33.577861443298985,79.0,15.0,0.0,0.0,2.6091065292096225,114809
114809_3,-70.64810999999997,-33.58483999999999,7.0,1.0,0.0,0.0,3.8333333333333335,114809
114819_0,-70.6363905882353,-33.56099779411765,28.0,5.0,1.0,1.0,4.652696078431371,114819
114819_1,-70.65010153846157,-33.559403504273526,72.0,13.0,0.0,0.0,3.4337606837606844,114819
114819_2,-70.63690999999999,-33.560135,129.0,25.0,0.0,0.0,4.829166666666667,114819
114819_3,-70.64305285714283,-33.56311571428572,57.0,10.0,0.0,0.0,2.496258503401361,114819
114820_0,-70.5823510559006,-33.58899714285713,78.0,13.0,0.0,0.0,8.352898550724642,114820
114820_1,-70.59996110032363,-33.58838763754048,300.0,54.0,1.0,1.0,4.187270765911542,114820
114820_2,-70.59519502145928,-33.578483347639484,221.0,39.0,0.0,0.0,6.037553648068671,114820
114820_3,-70.60176464285713,-33.587316785714286,188.0,34.0,0.0,0.0,4.1571428571428575,114820
114814_0,-70.64385307692308,-33.52721723076923,5.0,1.0,0.0,0.0,5.7464102564102575,114814
114814_1,-70.63836619047618,-33.53657314285715,24.0,4.0,0.0,0.0,2.65063492063492,114814
114814_2,-70.6392455882353,-33.524740882352944,17.0,3.0,0.0,0.0,6.650490196078432,114814
114814_3,-70.64518078947371,-33.536558815789476,5.0,1.0,0.0,0.0,2.8651315789473686,114814
114814_4,-70.63884499999999,-33.538815,5.0,1.0,0.0,0.0,2.7416666666666667,114814
114828_0,-70.65052347222225,-33.55217847222223,70.0,14.0,0.0,0.0,3.7104166666666663,114828
114828_1,-70.63559465116278,-33.55622581395349,5.0,1.0,0.0,0.0,3.282170542635658,114828
114828_2,-70.64259085365859,-33.553254024390235,47.0,9.0,0.0,0.0,2.0325203252032513,114828
114828_3,-70.637385,-33.55418,40.0,8.0,0.0,0.0,3.2333333333333334,114828
114801_0,-70.5826986021505,-33.60714150537635,155.0,28.0,0.0,0.0,3.308512544802867,114801
114801_1,-70.55912467625902,-33.61370071942442,377.0,73.0,2.0,2.0,8.717625899280572,114801
114801_2,-70.55947999999998,-33.60569000000001,74.0,14.0,0.0,0.0,7.591666666666667,114801
114801_3,-70.56473069264065,-33.60071926406927,171.0,31.0,0.0,0.0,6.889898989898993,114801
114801_4,-70.5961877272727,-33.60931149350647,140.0,25.0,0.0,0.0,6.196861471861472,114801
114822_0,-70.55440848484847,-33.55861944444443,301.0,57.0,1.0,1.0,10.016077441077442,114822
114822_1,-70.56505786350152,-33.59320979228478,170.0,28.0,0.0,0.0,5.907220573689426,114822
114822_2,-70.560918,-33.591516,174.0,31.0,0.0,0.0,4.959999999999999,114822
114822_3,-70.55990185000002,-33.58008722500003,884.0,168.0,2.0,2.0,3.7975000000000034,114822
114822_4,-70.57123637561783,-33.56956110378911,558.0,100.0,1.0,1.0,7.393190554640307,114822
114313_0,-70.11371061224483,-33.72734530612247,3.0,0.0,0.0,0.0,14.399999999999986,114313
114313_1,-70.52415628865981,-33.60966268041237,38.0,6.0,0.0,0.0,3.386254295532647,114313
114313_2,-70.41606926315788,-33.62810821052637,25.0,4.0,0.0,0.0,13.365350877193015,114313
114313_3,-70.50066579710145,-33.7187785507246,25.0,5.0,0.0,0.0,12.490096618357473,114313
114313_4,-70.51203333333335,-33.66099333333333,18.0,3.0,0.0,0.0,11.303703703703706,114313
114812_0,-70.58719883392229,-33.62522399293286,131.0,22.0,1.0,1.0,2.809246171967019,114812
114812_1,-70.55240575,-33.710274999999996,16.0,3.0,0.0,0.0,5.555000000000003,114812
114812_2,-70.5861237931035,-33.61987620689655,133.0,23.0,0.0,0.0,5.136845466155807,114812
114812_3,-70.5932025,-33.6292575,49.0,9.0,0.0,0.0,3.470833333333333,114812
114821_0,-70.61257614457833,-33.62901590361446,49.0,8.0,0.0,0.0,3.1281124497991972,114821
114821_1,-70.61357794392521,-33.62060897196261,18.0,3.0,0.0,0.0,4.073052959501557,114821
114821_2,-70.60346490566037,-33.622485849056595,44.0,7.0,0.0,0.0,5.152201257861636,114821
114821_3,-70.600685,-33.624204999999996,34.0,6.0,0.0,0.0,6.516666666666666,114821
